SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA,RANKING (OUT OF 3046),RATINGS
White Haven,105 Invergordon Avenue,Agincourt,M1S 2Z1,M1S,446.0,7.7
Wexford,1050 Pharmacy Avenue,Scarborough,M1R 2H1,M1R,1549.0,6.1
Norseman,105 Norseman Street,Etobicoke,M8Z 2R1,M8Z,334.0,7.9
King Edward,112 Lippincott Street,Toronto,M5S 2P1,M5S,2594.0,4.2
Orde Street,18 Orde Street,Toronto,M5T 1N7,M5T,388.0,7.8
Brimwood Boulevard,151 Brimwood Boulevard,Agincourt,M1V 1E5,M1V,1921.0,5.6
Burrows Hall,151 Burrows Hall Boulevard,Agincourt,M1B 1M5,M1B,947.0,6.9
Charles E Webster,1900 Keele Street,York,M6M 3X7,M6M,2315.0,4.9
Timberbank,170 Timberbank Boulevard,Agincourt,M1W 2A3,M1W,1549.0,6.1
Glen Park,101 Englemount Avenue,North York,M6B 4L5,M6B,1686.0,5.9
Chief Dan George,185 Generation Boulevard,Scarborough,M1B 2K5,M1B,2449.0,4.6
Kew Beach,101 Kippendavie Avenue,Toronto,M4L 3R3,M4L,1686.0,5.9
Eastview,20 Waldock Street,West Hill,M1E 2E5,M1E,2951.0,2.3
Birch Cliff Heights,120 Highview Avenue,Scarborough,M1N 2J1,M1N,1171.0,6.6
Terry Fox,185 Wintermute Boulevard,Agincourt,M1W 3M9,M1W,622.0,7.4
William G Davis,128 East Avenue,West Hill,M1C 3L6,M1C,622.0,7.4
Fern Avenue,128 Fern Avenue,Toronto,M6R 1K3,M6R,865.0,7.0
Niagara Street,222 Niagara Street,Toronto,M6J 2L3,M6J,334.0,7.9
Fairbank,2335 Dufferin Street,York,M6E 3S5,M6E,2449.0,4.6
Anson S Taylor,20 Placentia Boulevard,Agincourt,M1S 4C5,M1S,2052.0,5.4
Lynngate,129 Cass Avenue,Agincourt,M1T 2B5,M1T,2529.0,4.4
Danforth Gardens,20 Santamonica Boulevard,Scarborough,M1L 4H4,M1L,1024.0,6.8
John Ross Robertson,130 Glengrove Avenue West,Toronto,M4R 1P2,M4R,34.0,9.3
Leslieville,254 Leslie Street,Toronto,M4M 3C9,M4M,2210.0,5.1
Annette Street,265 Annette Street,Toronto,M6P 1R3,M6P,1921.0,5.6
Chester Le,201 Chester Le Boulevard,Agincourt,M1W 2K7,M1W,2848.0,3.2
Maryvale,1325 Pharmacy Avenue,Scarborough,M1R 2J1,M1R,2680.0,3.9
Silver Springs,222 Silver Springs Boulevard,Agincourt,M1V 1S4,M1V,2100.0,5.3
Brookmill Boulevard,25 Brookmill Boulevard,Agincourt,M1W 2L5,M1W,102.0,8.7
Perth Avenue,14 Ruskin Avenue,Toronto,M6P 3P8,M6P,2052.0,5.4
Iroquois,265 Chartland Boulevard South,Agincourt,M1S 2S6,M1S,58.0,9.0
Lord Dufferin,350 Parliament Street,Toronto,M5A 2Z7,M5A,1400.0,6.3
Armour Heights,148 Wilson Avenue,North York,M5M 3A5,M5M,163.0,8.4
Earl Haig,15 Earl Haig Avenue,Toronto,M4C 1E2,M4C,284.0,8.0
Shaughnessy,30 Shaughnessy Boulevard,North York,M2J 1H5,M2J,1984.0,5.5
North Bendale,29 Aveline Crescent,Scarborough,M1H 2P4,M1H,250.0,8.1
Anson Park,30 MacDuff Crescent,Scarborough,M1M 1X5,M1M,796.0,7.1
Brock,93 Margueretta Street,Toronto,M6H 3S4,M6H,2210.0,5.1
Pauline Johnson,35 Dunmurray Boulevard,Agincourt,M1T 2K2,M1T,2491.0,4.5
Percy Williams,35 White Heather Boulevard,Agincourt,M1V 1P6,M1V,213.0,8.2
Glamorgan,51 Antrim Crescent,Scarborough,M1P 4N4,M1P,796.0,7.1
Elizabeth Simcoe,166 Sylvan Avenue,Scarborough,M1E 1A3,M1E,1322.0,6.4
Roselands,990 Jane Street,York,M6N 4E2,M6N,1322.0,6.4
North Bridlewood,50 Collingsbrook Boulevard,Agincourt,M1W 1L7,M1W,1246.0,6.5
Denlow,50 Denlow Boulevard,North York,M3B 1P7,M3B,34.0,9.3
Joyce,26 Joyce Parkway,North York,M6B 2S9,M6B,1171.0,6.6
Glen Ravine,11 Gadsby Drive,Scarborough,M1K 4V4,M1K,1096.0,6.7
Gateway,55 Gateway Boulevard,North York,M3C 1B4,M3C,1921.0,5.6
Cordella,175 Cordella Avenue,York,M6N 2K1,M6N,2210.0,5.1
Bridlewood,60 Bridlewood Boulevard,Agincourt,M1T 1P7,M1T,334.0,7.9
William Tredway,112 Sedgemount Drive,Scarborough,M1H 1X9,M1H,1984.0,5.5
Morse Street,180 Carlaw Avenue,Toronto,M4M 2R9,M4M,1246.0,6.5
McMurrich,115 Winona Drive,Toronto,M6G 3S8,M6G,1096.0,6.7
Morrish,61 Canmore Boulevard,Scarborough,M1C 3T7,M1C,446.0,7.7
Beverly Glen,85 Beverly Glen Boulevard,Agincourt,M1W 1W4,M1W,43.0,9.2
Charlottetown,85 Charlottetown Boulevard,West Hill,M1C 2C7,M1C,1246.0,6.5
Gledhill,2 Gledhill Avenue,Toronto,M4C 5K6,M4C,2491.0,4.5
Alexmuir,95 Alexmuir Boulevard,Agincourt,M1V 1H6,M1V,1024.0,6.8
Swansea,207 Windermere Avenue,Toronto,M6S 3J9,M6S,47.0,9.1
Whitney,119 Rosedale Heights Drive,Toronto,M4T 1C7,M4T,25.0,9.5
Lucy Maud Montgomery,95 Murison Boulevard,Scarborough,M1B 2L6,M1B,2529.0,4.4
Market Lane,246 The Esplanade,Toronto,M5A 4J6,M5A,2052.0,5.4
Terraview-Willowfield,95 Pachino Boulevard,Scarborough,M1R 4K1,M1R,2210.0,5.1
Blake Street,21 Boultbee Avenue,Toronto,M4J 1A7,M4J,2400.0,4.7
Agnes Macphail,112 Goldhawk Trail,Agincourt,M1V 1W5,M1V,446.0,7.7
Berner Trail,120 Berner Trail,Agincourt,M1B 1B3,M1B,1246.0,6.5
Dixon Grove,315 The Westway,Etobicoke,M9R 1H1,M9R,2594.0,4.2
Cedar Drive,21 Gatesview Avenue,Scarborough,M1J 3G4,M1J,2652.0,4.0
Milliken,130 Port Royal Trail,Agincourt,M1V 2T4,M1V,102.0,8.7
